occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
139260,occ,23238,,11604,Titanosaurus n. sp. colberti,species,64311,recombined as,Isisaurus colberti,species,64311,Maastrichtian,,72.1,66,4177
139306,occ,,,11923,n. gen. Amygdalodon n. sp. patagonicus,species,66447,,Amygdalodon patagonicus,species,66447,Late Toarcian,Early Aalenian,180.1,171.6,4208
139307,occ,34164,,11924,Camarasaurus grandis,species,67181,,Camarasaurus grandis,species,52961,Kimmeridgian,Tithonian,157.3,145,63746
139308,occ,,,11925,Camarasaurus supremus,species,54168,,Camarasaurus supremus,species,54168,Kimmeridgian,,157.3,152.1,4209
139341,occ,13412,,11932,Pleurocoelus sp.,genus,54170,nomen dubium,Titanosauriformes,unranked clade,57468,Late Aptian,Early Albian,122.46,109,14253
148500,occ,13664,,13105,n. gen. Sonorasaurus n. sp. thompsoni,species,68170,,Sonorasaurus thompsoni,species,68170,Late Albian,Early Cenomanian,105.3,93.5,14864
149585,occ,13173,,13209,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Campanian,,83.6,72.1,13712
149598,occ,,,13214,Diplodocus sp.,genus,38669,,Diplodocus,genus,38669,Kimmeridgian,Tithonian,157.3,145,4387
149600,occ,,,13214,Morosaurus grandis,species,64505,recombined as,Camarasaurus grandis,species,52961,Kimmeridgian,Tithonian,157.3,145,52556
150238,occ,,IF,13331,Megaloolithus siruguei,species,67202,,Megaloolithus siruguei,species,67202,Late Maastrichtian,,70.6,66,36723
150239,occ,,,13332,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Maastrichtian,,72.1,66,5968
150240,occ,15707,,13333,n. gen. Amargasaurus n. sp. cazaui,species,53962,,Amargasaurus cazaui,species,53962,Barremian,Early Aptian,129.4,122.46,5970
150311,occ,,,13341,Apatosaurus n. sp. laticollis,species,52974,subjective synonym of,Apatosaurus louisae,species,57752,Kimmeridgian,Tithonian,157.3,145,5981
150350,occ,,,13352,Diplodocus carnegii,species,65917,,Diplodocus carnegii,species,65917,Kimmeridgian,Tithonian,157.3,145,1808
150351,occ,28458,,13352,Apatosaurus excelsus,species,56547,recombined as,Brontosaurus excelsus,species,52982,Kimmeridgian,Tithonian,157.3,145,46207
150354,occ,,,13352,Morosaurus sp.,genus,52968,subjective synonym of,Camarasaurus,genus,38697,Kimmeridgian,Tithonian,157.3,145,1808
219923,occ,,F,22637,Megaloolithus patagonicus,species,81783,subjective synonym of,Megaloolithus jabalpurensis,species,81782,Early Campanian,Middle Campanian,83.5,70.6,24402
219971,occ,,,22648,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,Kimmeridgian,Tithonian,157.3,145,13100
219972,occ,12456,,22648,Morosaurus sp.,genus,52968,subjective synonym of,Camarasaurus,genus,38697,Kimmeridgian,Tithonian,157.3,145,13100
219974,occ,12665,,22648,Apatosaurus excelsus,species,56547,recombined as,Brontosaurus excelsus,species,52982,Kimmeridgian,Tithonian,157.3,145,13281
219978,occ,15652,,22650,Diplodocidae indet.,family,38664,,Diplodocidae,family,38664,Late Kimmeridgian,,155.7,150.8,15179
219979,occ,31060,,22650,Apatosaurinae indet. informal,unranked clade,319101,,Apatosaurinae,unranked clade,66543,Late Kimmeridgian,,155.7,150.8,55026
219980,occ,18816,,22650,Camarasaurus lentus,species,71837,,Camarasaurus lentus,species,63764,Late Kimmeridgian,,155.7,150.8,19566
220038,occ,13231,,22665,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,Sinemurian,Pliensbachian,199.3,182.7,43786
220055,occ,,,22678,Diplodocus sp.,genus,38669,,Diplodocus,genus,38669,Late Kimmeridgian,Tithonian,155.7,145,5760
220056,occ,29729,,22678,Camarasaurus sp.,genus,38697,,Camarasaurus,genus,38697,Late Kimmeridgian,Tithonian,155.7,145,5760
220060,occ,,,22678,Barosaurus sp.,genus,38666,,Barosaurus,genus,38666,Late Kimmeridgian,Tithonian,155.7,145,5760
220163,occ,,,22711,Diplodocus sp.,genus,38669,,Diplodocus,genus,38669,Kimmeridgian,Tithonian,157.3,145,15179
220201,occ,,,22717,Diplodocidae indet.,family,38664,,Diplodocidae,family,38664,Kimmeridgian,Tithonian,157.3,145,9727
225582,occ,30574,,21852,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,Early Tithonian,,150.8,145,14579
225583,occ,,,21852,Apatosaurus sp.,genus,38665,,Apatosaurus,genus,38665,Early Tithonian,,150.8,145,4783
225584,occ,13532,,21852,Camarasaurus lentus,species,71837,,Camarasaurus lentus,species,63764,Early Tithonian,,150.8,145,14579
247238,occ,,,24178,n. gen. Sauroposeidon n. sp. proteles,species,66617,,Sauroposeidon proteles,species,66617,Aptian,Albian,125,100.5,6837
256216,occ,,,24864,n. gen. Mamenchisaurus n. sp. constructus,species,56460,,Mamenchisaurus constructus,species,56460,Oxfordian,,163.5,157.3,24276
